prompt,completion
Some solution engineers ^ But these jokers declared that they were making ^ License r ^ For institute,i dont see any difference ^ its the same thing only
I don't think they were,just that these guys are getting for free ^ hmm
Yes,have a meeting at 11 ^ was preparing ppt for that
He doesn't ask these guys anything ^ Anyways ^ U leaving ^ For office,will attend that and go ^ no
Work from home ^ Sexy,today board meeting is there
Ok ^ Go to doctor,love you too ^ thanks ^  ^ Do you want this laptop stand?
Ok the way ^ Ok ^ All the best ^ Love you,No.. not required with PC ^ and my other laptop is too small for this ^ we cant use slice as credit card anymore
U not usint ^ Sure,wow ^ healthy
Ohh sad ^ ,beans?
Today breakfast ^ Yep,you are taking on the nagpur routine ^ everyone there has lunch at 11
Yes ^ Gonna miss my maid ^ The most,brunch
??,brunch was invented in nagpur
Ok,aww ^ and me? ^ 🙁
Loo,awww ^ thats sweet ^ done with meeting. leaving for office ^ had you seen this video? ^  ^ openAi launched their AI chatbot ^ 
"Lol ^ U r my life ^ How can I live without u, forget missing.... I can live without these people",sparrow? ^ no this is new
Nice ^ The demo ^ Awww ^ Ik ^ Sparrow ^ Right,nope ^ this came yesterday ^  ^ its called ChatGPT
Name of the chatbot,Tyara?
Seriously ^ See the limitations ^ Tyara also with rasa,this is a generative model only ^ GPT-3 uses GAN ^  ^ New shoes came. I asked for size 9 but 10 came ^ But it fits ^ One fits ^ Other doesnt
That's ^ If we use generative model,Video is done? ^  ^ this was not there when we were checking right? ^ i just logged in to check the application status ^ and they are asking to resubmit with this
Lol ^ Buy it from Myntra ^ Or any shop no ^ I need to take a picture ^ For thumbnail,they should atleast send email
Nope ^ Ohh ^ Good ^ It wasn't there,done ^ ohh they had mailed
I m 100 percent sure ^ Exactly ^ Dumb people,exactly ^ good thing i saw
Good ^ They might have had extende the date ^ How can they expected u to be available all the time ^ Just before deadline,\ ^  ^ Now i configured it to get notifications for this ^  ^ There's like a tug of war going on between funny people and germans on 9gag
Fucking lazy european,he is not picking
"['Professional Courier Immanuel \n', {'type': 'phone', 'text': '+919176377924'}, ' \nChennai India \n', {'type': 'link', 'text': 'https://truecaller.com/search/in/+919176377924'}, ' \n \nsent using Truecaller']",He is asking to send your address by whatsapp
Arey,Yes
Ok ^ Pakka,Send yours no
Shall I send ur address ^ It's closer,In case verification ^ Mine is farther
He won't come from perungudi ^ To semmenchery,Ohh office ^ Ok
Arey ^ Not emmami ^ Fabheads,You called uncle?
Send me ur address ^ And time,Arey ^ To collect the cheque
Nope ^ Going to call him on Saturday,"Fabheads Automation Private Limited
First Floor, Plot No. 86, 14th Link Street, 
Venkateshwara Colony, Nehru Nagar, Kottivakkam, Chennai, Tamil Nadu 600041, India ^ My boatd meeting started"
Take it no,"[{'type': 'link', 'text': 'https://goo.gl/maps/xYLP1QofVFB2'}]"
Ok ^ Atb,ohhh... he wont give to me also ^ they might ask for ID proof
I called uncle ^ he said he came but he didn't give it to him ^ he is saying something that i am not getting,just give him your new address
hmmm,ok
can u please call him ^ he again said something,Yes... Damo is only talking
"that I didn't understand ^ Ask selva to call him, may be he is very high tamil.",I have to collect from the office ^ Their office
ohh thankfully ^ i sent him your address too,yes
ohh ^ that's also ok ^ did he told you the address???,he wasnt delivering if you are not there
ahh!! good enough,Yes. This is the one ^ Looks like a dancing stick figure ^ Balerina
"ok ^ phew ^ NO: 4/1, CHURCH ROAD, FIRST FLOOR, KANDAN CHAVADI, PERUNGUDI, CHENNAI - 600096 ^ this is the address i guess ^ it's coming on the tracking for PC",Yes ^ Going to collect your cheque ^ It might close otherwise
